minute,output
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,9.334557629570547e-07
62,1.9221021254700073e-06
63,2.9614477167909835e-06
64,4.047001166172149e-06
65,5.174271102865657e-06
66,6.338766156123675e-06
67,7.535994955198325e-06
68,8.761466129341773e-06
69,1.0010688307806175e-05
70,1.12791701198437e-05
71,1.2562420194706464e-05
72,1.385594716164664e-05
73,1.5155259649916376e-05
74,1.6455866288767846e-05
75,1.7753275707453166e-05
76,1.9042996535224506e-05
77,2.032053740133404e-05
78,2.158140693503388e-05
79,2.2821113765576197e-05
80,2.4035166522213142e-05
81,2.5219073834196895e-05
82,2.636834433077956e-05
83,2.7478486641213316e-05
84,2.854500939475032e-05
85,2.9563421220642724e-05
86,3.0529230748142665e-05
87,3.14379466065023e-05
88,3.228507742497379e-05
89,3.306613183280929e-05
90,3.3776618459260946e-05
91,3.44120459335809e-05
92,3.496792288502133e-05
93,3.543975794283436e-05
94,3.5823059736272175e-05
95,3.611333689458689e-05
96,3.6306098047030694e-05
97,3.639685182285571e-05
98,3.63811068513141e-05
99,3.625437176165803e-05
100,3.6012155183139634e-05
101,3.564996574501107e-05
102,3.5163312076524516e-05
103,3.454770280693208e-05
104,3.379864656548594e-05
105,3.2911651981438236e-05
106,3.188222768404114e-05
107,3.070588230254679e-05
108,2.937812446620735e-05
109,2.789446280427498e-05
110,2.6250405946001817e-05
111,2.444146252063997e-05
112,2.2463141157441657e-05
113,2.0310950485659065e-05
114,1.7980399134544223e-05
115,1.5466995733349348e-05
116,1.2766248911326629e-05
117,9.873667297728201e-06
118,6.7847595218061745e-06
119,3.4950342128126837e-06
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,1.3871895501591044e-05
182,2.84618468750592e-05
183,4.3708390864316854e-05
184,5.955006421327684e-05
185,7.592540366585071e-05
186,9.277294596595123e-05
187,0.00011003122785749083
188,0.00012763878608438187
189,0.0001455341573905368
190,0.00016365587851986795
191,0.00018194248621628779
192,0.0002003325172237091
193,0.00021876450828604336
194,0.00023717699614720343
195,0.0002555085175511017
196,0.00027369760924165056
197,0.0002916828079627624
198,0.0003094026504583497
199,0.00032679567347232517
200,0.00034380041374860033
201,0.0003603554080310881
202,0.00037639919306370074
203,0.0003918703055903509
204,0.00040670728235495053
205,0.0004208486601014125
206,0.0004342329755736489
207,0.0004467987655155725
208,0.00045848456667109524
209,0.0004692289157841294
210,0.00047897034959858777
211,0.00048764740485838273
212,0.0004951986183074264
213,0.0005015625266896315
214,0.0005066776667489101
215,0.0005104825752291748
216,0.000512915788874338
217,0.0005139158444283118
218,0.000513421278635009
219,0.0005113706282383418
220,0.0005077024299822226
221,0.0005023552206105639
222,0.0004952675368672777
223,0.00048637791549627685
224,0.00047562489324147353
225,0.0004629470068467799
226,0.0004482827930561092
227,0.0004315707886133728
228,0.0004127495302624837
229,0.0003917575547473535
230,0.0003685333988118957
231,0.0003430155992000226
232,0.00031514269265564554
233,0.00028485321592267845
234,0.0002520857057450323
235,0.00021677869886662033
236,0.00017887073203135418
237,0.00013830034198314585
238,9.500606546590951e-05
239,4.892643922355675e-05
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.00019341197014820645
302,0.00039765486523646987
303,0.0006127060243836449
304,0.0008385427867085864
305,0.001075142491330149
306,0.0013224824773671868
307,0.0015805400839385552
308,0.001849292650163123
309,0.0021287175151597166
310,0.0024187920180472043
311,0.0027194934979444412
312,0.0030307992939702815
313,0.0033526867452435796
314,0.003685133190883192
315,0.00402811597000797
316,0.004381612421736772
317,0.004745599885188451
318,0.005120055699481861
319,0.005504957203735857
320,0.005900281737069294
321,0.006306006638601027
322,0.00672210924744991
323,0.00714856690273482
324,0.007585356943574569
325,0.008032456709088032
326,0.008489843538394062
327,0.008957494770611517
328,0.00943538774485925
329,0.009923499800256115
330,0.010421808275920968
331,0.010930290510972666
332,0.011448923844530058
333,0.011977685615712002
334,0.012516553163637352
335,0.013065503827424963
336,0.01362451494619369
337,0.014193563859062388
338,0.01477262790514994
339,0.015361684423575142
340,0.015960710753456876
341,0.016569684233914004
342,0.017188582204065373
343,0.017817382003029836
344,0.01845606096992626
345,0.019104596443873485
346,0.019762965763990375
347,0.020431146269395777
348,0.021109115299208555
349,0.021796850192547557
350,0.022494328288531644
351,0.023201526926279664
352,0.02391842344491047
353,0.02464499518354297
354,0.02538121948129592
355,0.026127073677288233
356,0.026882535110638747
357,0.02764758112046633
358,0.02842218904588983
359,0.029206336226028102
360,0.03
361,0.030803184659893693
362,0.03161600230967458
363,0.03243859200627739
364,0.033271092806636836
365,0.034113643767687635
366,0.0349663839463645
367,0.035829452399602155
368,0.03670298818433535
369,0.037587130357498735
370,0.03848201797602706
371,0.039387790096855044
372,0.040304585776917395
373,0.04123254407314884
374,0.04217180404248409
