minute,load_MW
0,0.8495845885267775
1,0.8496698732149384
2,0.8495377182457164
3,0.849228339815392
4,0.8485659781480064
5,0.8483100692800106
6,0.8477949778801261
7,0.8476638174135736
8,0.8473557344696128
9,0.8469873934406463
10,0.8466342055217775
11,0.8467324707219704
12,0.8462605001609675
13,0.8461963677229949
14,0.8460211296448247
15,0.845751971254893
16,0.8448912161150238
17,0.8452630533596394
18,0.8450562879888807
19,0.8447842768114
20,0.8447378257850247
21,0.8445294696972873
22,0.8441787715824944
23,0.8439186298274362
24,0.8439685012840416
25,0.8437341394289358
26,0.8433856680004453
27,0.843304860257617
28,0.8431376446328802
29,0.8429031218383346
30,0.8429800258224613
31,0.8431628211709953
32,0.8428134313892256
33,0.8427289168085024
34,0.8421027052299697
35,0.8425921756385383
36,0.8425318736784287
37,0.8421105700820224
38,0.8419661385914062
39,0.8420623707019025
40,0.8419496284898225
41,0.842050932215782
42,0.8416765836908201
43,0.8416906743994658
44,0.8416159638820278
45,0.8415922569170053
46,0.8416960454546103
47,0.8416245656004879
48,0.8414492821713502
49,0.8414089458715895
50,0.8413786324079983
51,0.8411697952740733
52,0.8412820910031285
53,0.8414650813285705
54,0.8412486738576694
55,0.8413309418282413
56,0.8413810482067313
57,0.8412099698796326
58,0.841315908530552
59,0.8416250435730088
60,0.8416860337493309
61,0.841440067154359
62,0.8415587630513138
63,0.8417285992504868
64,0.8415043339875846
65,0.8414886065511767
66,0.8417901782609705
67,0.8419416147809173
68,0.8419157766793535
69,0.8420005837964533
70,0.8420256561985685
71,0.8424225672507266
72,0.8423454188877157
73,0.8423663708071657
74,0.8425973017333095
75,0.8427503333278532
76,0.8424710007264418
77,0.8422389989217984
78,0.8428328402761307
79,0.8431170133603813
80,0.8429917196874419
81,0.8429926744443501
82,0.8433493857175854
83,0.8437288995609149
84,0.8436567580954111
85,0.843892957400339
86,0.8434591756674849
87,0.843942895377142
88,0.8439874969858496
89,0.8441429049090198
90,0.8443893764499031
91,0.8444234573751985
92,0.8442460023634334
93,0.8444963638309474
94,0.8447982578031454
95,0.8448037441828258
96,0.8447446693321692
97,0.84524896936991
98,0.8451048270968714
99,0.8453272118892128
100,0.8455082627642861
101,0.8455505181886349
102,0.8458853032542881
103,0.8459352400076662
104,0.8460965328484871
105,0.8459470992321689
106,0.8462899460908478
107,0.8461767368329772
108,0.8463268937199903
109,0.846533253627587
110,0.8472406089236383
111,0.8469007070470186
112,0.8470356918211542
113,0.8472590565890006
114,0.847218942990307
115,0.8474944510768005
